"Data compiled by Iraq Body Count as of Tuesday, 6th March 2012"
"The reports from which this table is compiled have all been in the public domain."
"This specific compilation is copyrighted to Iraq Body Count (IBC)."
"Permission to use it for commercial use must be obtained from admin AT iraqbodycount.org"
""
"For a detailed explanation of these figures and how they were derived, see"
"http://www.iraqbodycount.org/about/"
""
"This table is constantly being updated. The latest version of this file can always be"
"obtained from http://www.iraqbodycount.org/database/download/ibc-incidents.php"

"IBC code","Start Date","End Date","Time","Location","Target","Weapons","Reported Minimum","Reported Maximum","Sources"
"k1742","10 Aug 2005","10 Aug 2005","-","Ghazaliyah, west Baghdad","police patrol","suicide car bomb","6","6","REU 10 Aug, XIN 10 Aug"
"k1743","10 Aug 2005","10 Aug 2005","-","Antar Square, Adhamiya, Baghdad","-","mortar","1","1","REU 10 Aug, NYT 11 Aug"
"k1764","10 Aug 2005","10 Aug 2005","-","near Iskandariyah","people in car","gunfire","2","2","REU 10 Aug, G and M 15 Aug"
"c0180","10 Aug 2005","10 Aug 2005","","Bayaa, Baghdad","police captain","gunfire","1","1","AP 11 Aug, LAT 29 Nov (morgue)"
"d2616","9 Aug 2005","10 Aug 2005","","Mosul","policemen heading to work","gunfire","2","2","REU 10 Aug, LAT 11 Aug"
"d2617","9 Aug 2005","10 Aug 2005","","Mosul","'separate incidents over the past 24 hours'","","13","13","REU 10 Aug, LAT 11 Aug"
"d3925","10 Aug 2005","10 Aug 2005","","Arab village 22 miles NW of Kirkuk","land surveying team","gunfire","1","1","NYT 11 Aug"
"d4510","10 Aug 2005","10 Aug 2005","AM","Balad","civilian vehicle near a US convoy after an IED explosion","US gunfire","1","1","US DoD via ACLU Mar 2010, IRIN 24 Jan"
"k1734","9 Aug 2005","9 Aug 2005","-","Baquba","police patrol","gunfire","1","1","MEO 09 Aug, REU 09 Aug"
"k1735","9 Aug 2005","9 Aug 2005","-","near Baquba","pilgrims in minibus","gunfire","3","3","REU 09 Aug, LAT 10 Aug"
"k1736","9 Aug 2005","9 Aug 2005","PM","Dora, Baghdad","-","mortar shell","2","2","CNN 09 Aug, LAT 10 Aug"
"k1737","9 Aug 2005","9 Aug 2005","1:50 PM","Near Tahrir Square, Baghdad","US convoy","suicide car bomb","3","6","CNN 09 Aug, AP 10 Aug, LAT 10 Aug"
"k1738","9 Aug 2005","9 Aug 2005","-","Al-Madaen, south of Baghdad","Ali Nassir Mohammed al-Ajili, director of police in Wasit","gunfire","1","1","KUNA 10 Aug, AP 09 Aug"
"k1739","9 Aug 2005","9 Aug 2005","PM","Baghdad","Abbas Ibrahim  Mohammed, cabinet employee","gunfire","1","1","AP 10 Aug, PDT 11 Aug"
"k1752","9 Aug 2005","9 Aug 2005","8:00 AM","Dora, Baghdad","police in car","gunfire","1","2","MEO 09 Aug, XIN 09 Aug, AP 09 Aug"
"k1740","9 Aug 2005","9 Aug 2005","8:00 am","New Baghdad","police in car","gunfire","5","5","XIN 09 Aug, AP 09 Aug"
"k1741","9 Aug 2005","9 Aug 2005","-","Al-Adel, west Baghdad","police","gunfire","1","1","MEO 09 Aug, AFP 09 Aug"
"k1762","9 Aug 2005","9 Aug 2005","-","Hilla","former officer in Baath Party","gunfire","1","1","REU 09 Aug, G and M 15 Aug"
"k1763","9 Aug 2005","9 Aug 2005","-","Al-Jamee'a, southwest Baghdad","owners of mobile phone shop","gunfire","1","1","REU 09 Aug, G and M 15 Aug"
"c0182","9 Aug 2005","9 Aug 2005","","Shuaula, northern Baghdad","policemen","drive-by shooting","1","1","AP 09 Aug, LAT 29 Nov (morgue)"
"c0183","9 Aug 2005","9 Aug 2005","","southern Baghdad","policeman","gunfire","1","1","MEO 09 Aug, LAT 29 Nov (morgue)"
"c0184","9 Aug 2005","9 Aug 2005","8:15 AM","Ghadir Street, Zayouna, east Baghdad","police","gunfire","2","2","AP 09 Aug, MEO 09 Aug"
"d2631","9 Aug 2005","9 Aug 2005","","Abu Khamis","truck set on fire","burnt to death","2","2","REU 09 Aug, G and M 15 Aug, LAT 25 Jun (MoH)"
"d5630","9 Aug 2005","9 Aug 2005","9:45 PM","Al Karmah","local sheik Hekmat Talab Abbas Al-Jomaily","gunfire","1","1","US DoD via WikiLeaks 22 Oct 2010"
"k1728","8 Aug 2005","8 Aug 2005","7:00 AM","Near Al-Sharqat","police","gunfire","2","2","Al-Shar 08 Aug, AFP 08 Aug"
"k1729","8 Aug 2005","8 Aug 2005","-","Near Bayji","businessman","gunfire","1","1","Al-Shar 08 Aug, AFP 08 Aug"
"k1730","8 Aug 2005","8 Aug 2005","-","Near Balad","former soldier","gunfire","1","1","Al-Shar 08 Aug, AFP 08 Aug"
"k1731","8 Aug 2005","8 Aug 2005","-","Fatha, near Kirkuk","Northern Oil Company employees","gunfire","2","2","REU 08 Aug, Al-Shar 08 Aug"
"k1732","8 Aug 2005","8 Aug 2005","-","Doura Power Station, Baghdad","translator at Doura Power Station, Baghdad","gunfire","1","1","REU 08 Aug, Al-Shar 08 Aug"
"k1733","8 Aug 2005","8 Aug 2005","-","bodies found in Tigris River, Samarra","police","gunfire","5","5","REU 08 Aug, Al-Shar 08 Aug"
"d2698","8 Aug 2005","8 Aug 2005","","Owja","man waiting for a taxi near Owja fuel station","US gunfire","1","1","US DoD via ACLU 12 Apr"
"d3811","8 Aug 2005","8 Aug 2005","","Al-Ishaki","policemen","gunfire","4","4","Al-Shar 08 Aug, IRIN 24 Jan"
"d4473","8 Aug 2005","8 Aug 2005","","Baghdad-Mosul road, 3km from FOB Omaha, Tikrit","civilian vehicle in front of a convoy","US gunfire","2","2","US DoD via ACLU Mar 2010, IRIN 24 Jan"
"d4874","8 Aug 2005","8 Aug 2005","","Bani Dahir, north of Haqlaniyah","civilian vehicle approaching a foot patrol at high speed, driver killed","US gunfire","1","1","US DoD via WikiLeaks 22 Oct 2010"
"d5542","8 Aug 2005","8 Aug 2005","5:40 PM","2km south of Camp Echo, near Ad Diwaniyah","bodies found of Ali Drevil Radi from Ad Diwaniyah, and Heider Hesen Bedr from Al Hillah","gunfire","2","2","US DoD via WikiLeaks 22 Oct 2010, LAT 25 Jun 2006 (MoH)"
"k1718","7 Aug 2005","7 Aug 2005","-","Samarra","police","gunfire","2","2","REU 07 Aug, Al-Jaz TV 07 Aug"
"k1719","7 Aug 2005","7 Aug 2005","7:30 AM","New Baghdad","Oil Ministry employees in car","gunfire","2","2","REU 07 Aug, CNN 07 Aug"
"k1721","7 Aug 2005","7 Aug 2005","PM","Dora, Baghdad","-","gunfire","4","4","PDT 08 Aug, REU 07 Aug"
"k1722","7 Aug 2005","7 Aug 2005","-","Baquba","police","gunfire, grenade","2","2","CNN 07 Aug, AP 07 Aug"
"k1723","7 Aug 2005","7 Aug 2005","-","Basra","policeman","gunfire","1","1","AP 08 Aug, WP 08 Aug"
"k1720","7 Aug 2005","7 Aug 2005","-","Baquba","police patrol","roadside bomb","2","3","REU 07 Aug, AFP 08 Aug, G and M 08 Aug"
"k1724","7 Aug 2005","7 Aug 2005","-","Samawah","protesters","gunfire","2","2","AFP 08 Aug, Al-Jaz TV 07 Aug"
"k1725","7 Aug 2005","7 Aug 2005","-","Latifiyah","-","gunfire","2","2","PDT 08 Aug, AFP 07 Aug"
"k1726","7 Aug 2005","7 Aug 2005","-","Sharqat","bus hit by bomb, three children among the dead","roadside bomb","7","7","PDT 08 Aug, AFP 08 Aug"
"k1727","7 Aug 2005","7 Aug 2005","PM","in or near Tikrit","Colonel Hussein Ali al-Juburi, police commander of the city of Al-Mashahidah","gunfire","1","1","AFP 08 Aug, Al-Shar 08 Aug"
"c0186","7 Aug 2005","7 Aug 2005","","Campsara, SE Baghdad","car containing two Sunni Arab leaders, driver also killed","drive-by shooting","3","3","CNN 07 Aug, PDT 08 Aug"
"d2619","7 Aug 2005","7 Aug 2005","","Tal Afar","houses hit","roadside bomb, artillery shells","2","2","REU 07 Aug, G and M 08 Aug, LAT 25 Jun (MoH)"
"d3810","7 Aug 2005","7 Aug 2005","","Jubayriyah area, Samarra","'suspicious' car carrying young men","US gunfire","1","1","Al-Shar 07 Aug, IRIN 24 Jan"
"d4615","7 Aug 2005","7 Aug 2005","","Al-Sha'ab District, Baghdad","man injured by random shooting, dies at Ibn Al-Nafees hospital","US gunfire","1","1","US DoD via ACLU 12 Apr"
"d5629","7 Aug 2005","7 Aug 2005","7:00 AM","MSR Mobile, west of Camp Ramadi","bus carrying civilians who work with Coaltion Forces finding IED and mortar sites","gunfire","3","3","US DoD via WikiLeaks 22 Oct 2010"
"k1717","6 Aug 2005","6 Aug 2005","-","Baquba","police checkpoint","gunfire","1","1","REU 06 Aug, GDN 07 Aug"
"c0187","6 Aug 2005","6 Aug 2005","","Al-Bayaa, SW Baghdad","electoral commission member and SCIRI member, while walking near their homes","gunfire","2","2","CNN 07 Aug, LAT 29 Nov (morgue)"
"k1709","5 Aug 2005","5 Aug 2005","-","Baghdad","bodyguard of MP Jalaladin al-Sarir","gunfire","1","1","AFP 05 Aug, GDN 05 Aug"
"k1710","5 Aug 2005","5 Aug 2005","-","Mosul","bodies found","-","5","5","AFP 05 Aug, GDN 06 Aug"
"k1711","5 Aug 2005","5 Aug 2005","-","Dora, Baghdad","cars at petrol station","gunfire","1","1","AFP 05 Aug, GDN 06 Aug"
"k1712","5 Aug 2005","5 Aug 2005","-","road between Baghdad and Samarra","Saad al-Shumari, a doctor","gunfire","1","1","AFO 05 Aug, GDN 06 Aug"
"k1713","5 Aug 2005","5 Aug 2005","PM","Al-Jadiriyah, Baghdad","Khalid al-Saaidi, Iraqi National Congress official, another also killed","gunfire","2","2","REU 06 Aug, Al-Shar 06 Aug"
"k1714","5 Aug 2005","5 Aug 2005","-","Al-Dawr, north of Baghdad","woman and infant son killed","bomb","2","2","AFP 05 Aug, GDN 06 Aug"
"k1715","5 Aug 2005","5 Aug 2005","-","near Baquba","Abbas Mahmoud, former Badr Brigade militiaman","gunfire","1","1","AFP 05 Aug, GCN 06 Aug"
"k1716","5 Aug 2005","5 Aug 2005","-","Mosul","policeman","gunfire","1","1","AFP 05 Aug, GDN 06 Aug"
"d4076","5 Aug 2005","5 Aug 2005","11:00 PM","Baghdad","civilian car approaching a patrol at high speed","US gunfire","1","1","US DoD via ACLU Jul 2008"
"d5628","5 Aug 2005","5 Aug 2005","11:48 AM","ASR Michigan & Route Iron, 6km NE of Taqaddum, west of Fallujah","station wagon approaching a patrol after a prior IED attack, driver killed","US gunfire","1","1","US DoD via WikiLeaks 22 Oct 2010"
"k1703","4 Aug 2005","4 Aug 2005","AM","Al-Sayidiyah, Baghdad","Haidar Mohammed Ali al Dujaili, aide to Ahmed Chalabi","gunfire","1","1","AFP 04 Aug, AP 05 Aug"
"k1704","4 Aug 2005","4 Aug 2005","12:00 PM","Daquq, 20 miles south of Kirkuk","convoy of Al-Sadr supporters returning from Tal Afar","suicide car bomb","2","4","AP 05 Aug, AFP 05 Aug, Al-Shar 04 Aug"
"k1705","4 Aug 2005","4 Aug 2005","-","Doloyah","engineers working at US base","gunfire","2","2","AFP 05 Aug, GDN 05 Aug"
"k1706","4 Aug 2005","4 Aug 2005","-","near Baquba","wife, 12-year-old daughter and 6-year-old son of Ibrahim Omar , soldier","gunfire","3","3","REU 05 Aug, UPI 04 Aug"
"k1707","4 Aug 2005","4 Aug 2005","-","central Kirkuk","police patrol","gunfire","3","3","AP 05 Aug, AFP 05 Aug"
"d2613","4 Aug 2005","4 Aug 2005","","Tal Afar","clashes between insurgents and police, civilian killed","crossfire","1","1","REU 04 Aug, LAT 25 Jun (MoH)"
"d2614","4 Aug 2005","4 Aug 2005","AM","near Al-Siddiq Mosque, Al-Tahrir area, Ba'qubah","Hashen Abass Riah, 'director of planning and follow up in the Diyala Governorate'","gunfire","1","1","Al-Shar 04 Aug, US DoD via WikiLeaks 22 Oct 2010"
"d2615","4 Aug 2005","4 Aug 2005","","Baquba","police checkpoint","suicide car bomb","4","4","REU 05 Aug, G and M 08 Aug, LAT 25 Jun (MoH)"
"d4069","4 Aug 2005","4 Aug 2005","9:15 AM","Baghdad","suspected vehicles approaching a checkpoint","US gunfire","1","1","US DoD via ACLU Jul 2008"
"d4508","3 Aug 2005","4 Aug 2005","","Al-Abbadi district, Abu Graib","civilian vehicle, driver killed","US gunfire","1","1","US DoD via ACLU Mar 2010, LAT 29 Nov (morgue)"
"k1695","3 Aug 2005","3 Aug 2005","-","Near Haditha","US Marines, interpreter also killed","roadside bomb","1","1","REU 03 Aug, AFP 04 Aug"
"k1696","3 Aug 2005","3 Aug 2005","-","Baiji","construction worker","gunfire","1","1","AFP 03 Aug, GDN 03 Aug"
"k1699","3 Aug 2005","3 Aug 2005","8:30 AM","Al-Jam'ia, west Baghdad","polilceman","gunfire","1","1","CNN 04 Aug, Al-Shar 03 Aug"
"k1700","3 Aug 2005","3 Aug 2005","-","Al-Salihiyah, Baghdad","Baghdad governor's office?","mortar","1","1","AFP 04 Aug, Al-Shar 03 Aug"
"k1701","3 Aug 2005","3 Aug 2005","-","Baquba","police patrol","gunfire","2","2","AFP 04 Aug, Pak Trib 04 Aug"
"k1702","3 Aug 2005","3 Aug 2005","-","Baghdad","police in car","gunfire","2","2","AFP 04 Aug, Pak Trib 04 Aug"
"x490","9 Apr 2003","3 Aug 2005","-","Basra","assassinations, killings - '90%  political' - many of Sunni, but also some Shiite, ex-Baathists","(most often) gunfire","803","893","KR 03 Aug, Newsday 25 Aug, CSM 13 Jul, BG 08 Aug, UPD"
"d3809","3 Aug 2005","3 Aug 2005","AM","Al-Sina'i industrial area, Samarra","police commissioner","gunfire","1","1","Al-Shar 03 Aug, IRIN 24 Jan"
"d4068","3 Aug 2005","3 Aug 2005","6:00 AM","Vernon Access Road, Baghdad","civilian cars approaching a checkpoint","US gunfire","1","1","US DoD via ACLU Jul 2008, US DoD via WikiLeaks 22 Oct 2010"
"d5085","3 Aug 2005","3 Aug 2005","9:14 AM","Barwana","woman holding a broom and hatchet mistaken for a man with a weapon","US gunfire","1","1","US DoD via WikiLeaks 22 Oct 2010"
"k1688","2 Aug 2005","2 Aug 2005","-","near Diyala Medical College in Baquba","Dr. Abdul Hassan Mehdi , director of Khalis General Hospital, driver also killed","gunfire","2","2","UPI 02 Aug, CNN 02 Aug"
"k1689","2 Aug 2005","2 Aug 2005","1:00 PM","Tahrir Square, Bab Alsharq area, central Baghdad","US military convoy","suicide car bomb","3","4","BBC 02 Aug, AFP 02 Aug"
"k1690","2 Aug 2005","2 Aug 2005","5:30 AM","Shu'la, Baghdad","Civilians in car","gunfire","5","5","REU 02 Aug, UPI 02 Aug"
"k1691","2 Aug 2005","2 Aug 2005","-","Mosul","police checkpoint","suicide car bomb","6","6","KUNA 02 Aug, AFP 03 Aug"
"k1692","2 Aug 2005","2 Aug 2005","8:05 AM","Al-Ubaidi, east Baghdad","Mizhir Mohammed Youssef, police chief of Abu Ghraib","gunfire","1","1","REU 02 Aug, XIN 02 Aug"
"k1693","2 Aug 2005","2 Aug 2005","-","Al-Ummal, Baquba","police patrol","car bomb","1","2","REU 02 Aug, CNN 02 Aug, BBC 02 Aug"
"k1694","2 Aug 2005","2 Aug 2005","6:30 PM","body found Hay al-Rebaat, Basra","Stephen Vincent, US journalist, Nouriya Ita'is, his translator also shot","gunfire","1","1","CNN 03 Aug, REU 03 Aug"
"k1698","2 Aug 2005","2 Aug 2005","-","west Baghdad","employees of Finance Ministry","gunfire","2","2","XIN 02 Aug, AFP 02 Aug"
"c0188","2 Aug 2005","2 Aug 2005","9:00 PM","Amiriya, west Baghdad","policeman in his car","gunfire","1","1","CNN 04 Aug, LAT 29 Nov (morgue)"
"c0189","2 Aug 2005","2 Aug 2005","","Al-Mutannabi Street, central Baghdad","Al-Sadim Bookshop","suitcase bomb","1","1","AFP 03 Aug, Al-Shar 02 Aug, LAT 29 Nov (morgue)"
"d3807","2 Aug 2005","2 Aug 2005","","Dhuluiyah","engineer","gunfire","1","1","AFP 03 Aug, IRIN 24 Jan"
"d3808","2 Aug 2005","2 Aug 2005","","Al-Dawr","body of a policeman found","","1","1","AFP 03 Aug, IRIN 24 Jan"
"d3907","2 Aug 2005","2 Aug 2005","","Fallujah","three civilians, including one woman","mortar attacks","3","3","AFP 03 Aug"
"d4872","2 Aug 2005","2 Aug 2005","7:33 AM","Al Asad","civilian vehicle approaching a checkpoint at high speed, passenger killed","US gunfire","1","1","US DoD via WikiLeaks 22 Oct 2010"
"d4873","2 Aug 2005","2 Aug 2005","7:50 AM - 12:37 PM","Mosul","civilian vehicle approaching a patrol at high speed, one shot in the abodmen, dies of wounds at CSH","US gunfire","1","1","US DoD via WikiLeaks 22 Oct 2010, LAT 25 Jun (MoH)"
"k1687","1 Aug 2005","1 Aug 2005","-","Um Al-Maalef, near Baya'a, Baghdad","bodies found","found shot, beheaded","11","20","AFP 01 Aug, REU 01 Aug, LAT 02 Aug"
"k1708","1 Aug 2005","1 Aug 2005","PM","west Baghdad","Shaikh Akil al-Mahadidi, a cleric from al-Muhajirin mosque, brother also killed","gunfire","2","2","Al-Jaz 02 Aug, AFP 02 Aug"
"k1895","1 Aug 2005","1 Aug 2005","-","Taji","Sunni men","gunfire, executed","6","6","BBC 14 Sep, CNN 13 Sep"
"d3906","1 Aug 2005","1 Aug 2005","","Fallujah","middle-aged woman shot in the head, possibly by US forces","gunfire","1","1","Scot 02 Aug"
"d4871","1 Aug 2005","1 Aug 2005","6:48 PM","NW of Baghdadi","civilian vehicle that pulled out of line and accelerated toward a checkpoint, driver killed","US gunfire","1","1","US DoD via WikiLeaks 22 Oct 2010"
"d5904","1 Aug 2005","1 Aug 2005","7:50 AM","Baqubah","","improvised explosive device","1","1","US DoD via WikiLeaks 22 Oct 2010, LAT 25 Jun 2006 (MoH)"
"k1683","31 Jul 2005","31 Jul 2005","-","Baquba","cooks leaving military base","gunfire","1","1","REU 31 Jul, GUA 01 Aug"
"k1684","31 Jul 2005","31 Jul 2005","AM","Between Haswa and Al-Mahawil","police patrol","car bomb","5","7","CNN 31 Jul, REU 31 Jul, NYT 01 Aug"
"k1685","31 Jul 2005","31 Jul 2005","10:00 AM","Kirkuk","Arif Mahmud Muhammad, translator for US military","gunfire","1","1","REU 31 Jul, Al-Shar 31 Jul"
"x491g","1 Jul 2005","31 Jul 2005","","additional violent deaths recorded at the Baghdad city morgue","-","nearly all by gunfire - may include some explosions but 'excludes trauma deaths from accidents'","600","614","CT 11 Aug 05, CSM 22 Aug 05, TEL 07 Nov 05, LAT 29 Nov 05, REU 28 Feb 06, WP 03 Mar 06"
"c0190","1 Jul 2005","31 Jul 2005","","Baghdad","Shaka Sala, clerk with the Ministry of Culture","gunfire","1","1","Newsday 14 Oct, CSM 22 Aug (morgue)"
"c0191","1 Jul 2005","31 Jul 2005","","Ghazaliya, Baghdad","Ahmed Dhirgham, son of a former intelligence officer under Saddam Hussein","gunfire","1","1","LAT 11 Sep, CSM 22 Aug (morgue)"
"c0192","1 Jul 2005","31 Jul 2005","AM","Ghazaliya, Baghdad","Hassan Lami, while herding sheep","gunfire","1","1","LAT 11 Sep, CSM 22 Aug (morgue)"
"c0194","1 Jul 2005","31 Jul 2005","","Baghdad","body of brother of Reuters driver Yassin found in Baghdad morgue","-","1","1","REU 26 Aug, CSM 22 Aug (morgue)"
"k1670","27 Jul 2005","30 Jul 2005","-","bodies found Hay Al-Amil, west Baghdad","Mahir Yassin, Mahmoud Hamad al-Zawbaie, and third man, all airport employees","found tied and shot or with throats cut","3","3","CNN 30 Jul, AP 30 Jul"
"k1677","30 Jul 2005","30 Jul 2005","-","Ishaki","-","roadside bomb","3","3","Al-Jaz 30 Jul, AFP 30 Jul"
"k1678","30 Jul 2005","30 Jul 2005","-","Al-Dur","unknown, car hit","roadside bomb","8","8","Al-Jaz 30 Jul, AFP 30 Jul"
"k1679","30 Jul 2005","30 Jul 2005","-","Balad","unknown, family in car hit","car bomb","5","5","Al-Jaz 30 Jul, AFP 30 Jul"
"k1681","30 Jul 2005","30 Jul 2005","3:00 PM","near National Theatre, Karradah, Baghdad","police patrol","suicide car bomb","5","7","AFP 30 Jul, NYT 31 Jul, AP 31 Jul"
"k1682","30 Jul 2005","30 Jul 2005","7:00 AM","Dora, Baghdad","US military convoy, bystander killed","roadside bomb","1","1","REU 30 Jul, NYT 31 Jul"
"d2655","30 Jul 2005","30 Jul 2005","","Kufa","convoy of Ibrahim Issawi, environment ministry advisor, guard killed","gunfire","1","1","REU 31 Jul, LAT 25 Jun (MoH)"
"d3802","30 Jul 2005","30 Jul 2005","PM","Baiji","'insurgents attacked a minibus transporting Iraqi civilians working at an American base'","","3","3","REU 31 Jul, IRIN 24 Jan"
"d4754","30 Jul 2005","30 Jul 2005","11:15 AM","Al-Hamdaniya area, Mosul","'Abdil Rahman Al Na'aimi bodyguards'","gunfire","3","3","US DoD via WikiLeaks 22 Oct 2010, LAT 25 Jun 2006 (MoH)"
"d4756","30 Jul 2005","30 Jul 2005","1:54 PM","30th St. & RTE Lakers, Samarra","civilian van approaching a patrol, two men and a woman killed","US gunfire","3","3","US DoD via WikiLeaks 22 Oct 2010, IRIN 24 Jan 2007"
"k1676","29 Jul 2005","29 Jul 2005","PM","southern Baghdad","Faisal al-Khaz'ali, Shiite tribal leader","gunfire","1","1","REU 29 Jul, AP 39 Jul"
"k1680","29 Jul 2005","29 Jul 2005","7:00 AM","Rabia","potential army recruits","suicide bomber","43","48","AP 30 Jul, AFP 30 Jul, Al-Jaz 30 Jul"
"c0196","29 Jul 2005","29 Jul 2005","","Baghdad","exploded near a group of Iraqis drinking on the banks of the Tigris","car bomb","1","1","AFP 30 Jul, CSM 22 Aug (morgue)"
"c0197","29 Jul 2005","29 Jul 2005","","Baghdad","police patrol, civilians killed","car bomb","2","2","REU 29 Jul, CSM 22 Aug (morgue)"
"d2654","29 Jul 2005","29 Jul 2005","","Mosul","US patrol or a man selling alcohol, child killed","","1","1","REU 29 Jul, LAT 25 Jun (MoH)"
"d5903","29 Jul 2005","29 Jul 2005","10:41 PM","north of Route Marie, Muqdadiyah","body of Tarim Ali Abdul Wahab found by Iraqi Police","gunfire","1","1","US DoD via WikiLeaks 22 Oct 2010, LAT 25 Jun 2006 (MoH)"
"k1666","28 Jul 2005","28 Jul 2005","-","Haditha","assistant chief of Haditha police station","gunfire","1","1","REU 28 Jul, Al-Shar 28 Jul"
"k1674","28 Jul 2005","28 Jul 2005","-","Ouja, 10 km south of Tikrit","truck convoy travelling to US base","gunfire","1","1","DPA 29 Jul, Al-Shar 28 Jul"
"k1675","28 Jul 2005","28 Jul 2005","-","Samarra","police","gunfire","1","1","AFP 29 Jul, Al-Jaz 28 Jul"
"d3979","28 Jul 2005","28 Jul 2005","7:00 PM","Samarra","vehicle 'heading towards a blocking position', brother of a head judge killed","US gunfire","1","1","US DoD via ACLU 12 Apr"
"k15777","28 Jul 2005","28 Jul 2005","6:50 AM","Qarmat Ali, Basra","children playing with unexploded mortar round","unexploded mortar round","0","5","UPD 096:869"
"k1667","27 Jul 2005","27 Jul 2005","-","Doura, Baghdad","police station","roadside bomb","1","1","REU 28 Jul, Al-Shar 28 Jul"
"k1668","27 Jul 2005","27 Jul 2005","PM","Al-Sha'ab, northern Baghdad","polilce captain from Azzuhur police station","gunfire","1","1","REU 28 Jul, Al-Shar 28 Jul"
"k1669","27 Jul 2005","27 Jul 2005","-","Mansour, Baghdad","Iraqi army checkpoint, civilians killed","suicide car bomb","6","6","REU 28 Jul, Al-Shar 28 Jul"
"k1671","27 Jul 2005","27 Jul 2005","12:00 PM","Allawi bus station, central Baghdad","bus station, possibly Green Zone","mortar round","3","3","Times 28 Jul, AFP 28 Jul"
"k1672","27 Jul 2005","27 Jul 2005","PM","Mansur, Baghdad","car carrying Trade Ministry employees, driver killed","gunfire","1","1","CNN 27 Jul, XIN 27 Jul"
"k1673","21 Jul 2005","27 Jul 2005","-","kidnapped in Mansour, Baghdad","Ali Belarouci and Azzedine Belkadi , Algerian diplomats","executed","2","2","AP 28 Jul, AFP 29 Jul"
"d2705","27 Jul 2005","27 Jul 2005","","Balad","taxi hit, man killed","US gunfire","1","1","US DoD via ACLU 12 Apr"
"d3397","27 Jul 2005","27 Jul 2005","","Baaqooba Road, near Route Predator and Silver, Al Ubeidy, Baghdad","man trying to cross a street","run over by US convoy","1","1","US DoD via ACLU 12 Apr"
"d3804","27 Jul 2005","27 Jul 2005","","Baiji","policemen","gunfire","3","3","AFP 28 Jul, IRIN 24 Jan"
"d4870","27 Jul 2005","27 Jul 2005","9:05 AM","Mosul","taxi approaching an MP unit at high speed","US gunfire","1","1","US DoD via WikiLeaks 22 Oct 2010, LAT 25 Jun 2006 (MoH)"
"d5277","27 Jul 2005","27 Jul 2005","6:17 PM","4km north of Al Amiriyah","man walking toward a patrol","US gunfire","1","1","US DoD via WikiLeaks 22 Oct 2010"
"k1663","26 Jul 2005","26 Jul 2005","-","Risala, southern Mosul","ambulance driver and woman killed in fighting between Iraqi army and insurgents","gunfire","2","2","REU 26 Jul, CNN 26 Jul"
"k1664","26 Jul 2005","26 Jul 2005","4:00 PM","near Abu Ghraib, west Baghdad","workers travelling from Al Faris factory to Baghdad","automatic weapons","12","16","AFP 27 Jul, REU 26 Jul, AP 27 Jul"
"k1665","26 Jul 2005","26 Jul 2005","-","Basra","policeman in car, child also killed","gunfire","2","2","REU 26 Jul, Al-Jaz 27 Jul"
"c0200","26 Jul 2005","26 Jul 2005","","New Baghdad","Ministry of Health workers in their car","gunfire","3","3","REU 26 Jul, CSM 22 Aug (morgue)"
"c0201","26 Jul 2005","26 Jul 2005","","southern outskirts of Baghdad","police","mortar","2","2","REU 26 Jul, CSM 22 Aug (morgue)"
"d2704","26 Jul 2005","26 Jul 2005","","Tikrit","civilian car leaving a fuel station, man killed","US gunfire","1","1","US DoD via ACLU 12 Apr"
"d3902","26 Jul 2005","26 Jul 2005","","Hilla","police?","rocket","3","3","REU 26 Jul"
"k15952","26 Jul 2005","26 Jul 2005","3:25 PM","near Hit","partially decomposed bodies found","-","8","10","UPD 096:634"
"d4869","26 Jul 2005","26 Jul 2005","10:42 AM","Hit","civilian vehicle approaching a joint foot patrol at high speed, driver killed","US & IIF gunfire","1","1","US DoD via WikiLeaks 22 Oct 2010"
"d5902","26 Jul 2005","26 Jul 2005","2:00 PM","near Baqubah","Sheik Saad Unis Al Dafi, the director of Al Sadr office in Diyala","assassinated","1","1","US DoD via WikiLeaks 22 Oct 2010, LAT 25 Jun 2006 (MoH)"
"k1661","25 Jul 2005","25 Jul 2005","6:15 AM","near Sadir Hotel, central Baghdad","checkpoint near Sadir Hotel","suicide minivan bomb","11","12","REU 25 Jul, CNN 25 Jul"
"c0202","25 Jul 2005","25 Jul 2005","","Dora, Baghdad","'gunmen stormed a house'","gunfire","4","4","REU 25 Jul, CSM 22 Aug (morgue)"
"d5276","25 Jul 2005","25 Jul 2005","10:45 AM","RTE Irish, near FOB Falcon, Baghdad","civilian vehicle approaching a convoy, driver killed","US gunfire","1","1","US DoD via WikiLeaks 22 Oct 2010, CSM 22 Aug 2005 (morgue)"
"d5901","25 Jul 2005","25 Jul 2005","8:45 AM","Route Vanessa, Baqubah","group of civilians, Hassun Abbas Hassun killed","drive-by shooting","1","1","US DoD via WikiLeaks 22 Oct 2010, LAT 25 Jun 2006 (MoH)"
"k1654","24 Jul 2005","24 Jul 2005","2:50 PM","Mashtal, New Baghdad","Reshad police station","suicide truck bomb","38","40","AP 25 Jul, Times 25 Jul, Tel 25 Jul"
"k1655","24 Jul 2005","24 Jul 2005","PM","Albu Rahman, Samarra","Taha Hussein al-Handeira al-Bazi, head of Samarra council, companion also killed","gunfire","2","2","AP 25 Jul, REU 25 Jul"
